run,reward
0,14.0
1,13.96
2,13.9404
3,14.110996
4,14.36988604
5,14.6561871796
6,14.5996253078
7,15.1336290547
8,15.0722927642
9,15.0115698365
10,15.0914541382
11,15.4705395968
12,15.4858342008
13,15.5009758588
14,15.5359661002
15,15.5506064392
16,15.5251003748
17,15.5198493711
18,15.5346508774
19,15.5193043686
20,15.5841113249
21,15.5982702117
22,15.5822875095
23,15.8764646345
24,15.9076999881
25,15.8886229882
26,15.8897367583
27,16.0808393908
28,16.0700309969
29,16.0693306869
30,16.29863738
31,16.4056510062
32,16.4015944962
33,16.5175785512
34,16.4724027657
35,16.467678738
36,16.4830019506
37,16.8081719311
38,16.7800902118
39,17.3522893097
40,17.4987664166
41,17.8037787524
42,17.7657409649
43,17.7380835553
44,17.7107027197
45,17.6835956925
46,17.7567597356
47,17.7191921382
48,17.6620002169
49,17.7053802147
50,17.8683264125
51,18.0196431484
52,17.9394467169
53,18.2200522498
54,18.1678517273
55,18.09617321
56,18.0952114779
57,18.0142593631
58,17.9541167695
59,17.9145756018
60,17.9854298458
61,18.2465197918
62,17.9055755473
63,18.4640545939
64,18.389414048
65,18.2955199075
66,18.2325647084
67,18.2302390613
68,18.1679366707
69,18.256257304
70,18.343694731
71,18.3602577837
72,18.3866552058
73,18.3227886538
74,18.2495607672
75,18.3170651596
76,18.253894508
77,18.6013555629
78,18.7353420073
79,18.6979885872
80,18.6410087013
81,18.5645986143
82,18.7789526282
83,18.7711631019
84,19.1234514709
85,19.1622169562
86,19.1605947866
87,19.1089888387
88,19.0978989503
89,19.1569199608
90,19.5153507612
91,19.4301972536
92,19.3758952811
93,19.2921363283
94,19.229214965
95,19.4169228153
96,19.4327535872
97,19.5484260513
98,19.6429417908
99,19.5665123729
100,19.4808472492
101,19.4660387767
102,19.4113783889
103,19.387264605
104,19.343391959
105,19.4399580394
106,19.395558459
107,19.3316028744
108,19.3082868456
109,19.1952039772
110,19.1732519374
111,19.131519418
112,19.0902042239
113,19.0293021816
114,18.9290091598
115,18.8997190682
116,18.9107218775
117,18.8116146588
118,18.7034985122
119,18.666463527
120,18.8497988918
121,18.7913009029
122,18.8933878938
123,18.8944540149
124,18.9055094747
125,18.86645438
126,18.7977898362
127,18.8598119378
128,18.7412138185
129,18.6338016803
130,18.5774636635
131,18.5816890268
132,18.6158721366
133,18.8197134152
134,19.071516281
135,19.1608011182
136,19.2291931071
137,19.276901176
138,19.2541321642
139,19.2015908426
140,19.1795749342
141,19.1077791848
142,19.136701393
143,19.085334379
144,19.2644810352
145,19.3718362249
146,19.3381178626
147,19.604736684
148,19.5186893172
149,19.523502424
150,19.4982673998
151,19.6532847258
152,19.5367518785
153,19.4513843597
154,19.5868705161
155,19.641001811
156,19.8545917929
157,19.8760458749
158,19.7572854162
159,19.779712562
160,20.0319154364
161,20.161596282
162,20.0699803192
163,19.999280516
164,20.5192877109
165,20.6640948337
166,20.9574538854
167,21.0278793466
168,21.1876005531
169,21.0657245476
170,20.9150673021
171,20.8259166291
172,20.9976574628
173,20.8676808881
174,20.9890040793
175,20.8791140385
176,20.7903228981
177,20.6824196691
178,20.5855954724
179,20.6597395177
180,21.0731421225
181,21.1924107013
182,21.0604865943
183,21.0598817283
184,20.9692829111
185,21.1295900819
186,21.0882941811
187,20.9974112393
188,20.9074371269
189,20.9383627556
190,20.9189791281
191,21.4197893368
192,21.3155914434
193,21.442435529
194,21.6080111737
195,21.631931062
196,21.8156117514
197,21.7974556338
198,21.6894810775
199,21.6025862667
200,21.5865604041
201,21.4506948
202,21.516187852
